,Tx,Tx_err,rad,rad_width
0,7.55,0.703,18.278,18.278
1,6.075,0.286,54.835,18.278
2,6.161,0.23,91.391,18.278
3,6.23,0.203,127.947,18.278
4,5.835,0.186,164.504,18.278
5,5.911,0.188,201.06,18.278
6,5.308,0.169,237.617,18.278
7,5.701,0.191,274.173,18.278
8,5.538,0.189,310.73,18.278
9,5.607,0.184,350.942,21.934
10,5.262,0.197,391.154,18.278
11,5.119,0.204,427.71,18.278
12,5.596,0.266,464.266,18.278
13,4.921,0.244,500.823,18.278
14,5.023,0.283,537.379,18.278
15,4.568,0.24,573.936,18.278
16,4.846,0.281,610.492,18.278
17,4.285,0.252,647.049,18.278
18,4.21,0.255,683.605,18.278
19,5.723,0.428,723.817,21.934
20,4.204,0.286,764.029,18.278
21,4.916,0.421,800.586,18.278
22,4.122,0.309,837.142,18.278
23,3.29,0.24,873.698,18.278
24,3.173,0.314,910.255,18.278
25,4.077,0.504,946.811,18.278
26,4.099,0.638,983.368,18.278
27,3.365,0.7,1019.924,18.278
28,1.822,0.319,1060.136,21.934
